epoch,step,test_mae,test_mse,train_loss,val_loss,val_mae,val_mse
19,5399,0.10863026231527328,0.025884676724672318,,0.25276291370391846,0.10556615144014359,0.02294701524078846
19,5399,,,0.253562867641449,,,
20,5669,0.10434704273939133,0.024594418704509735,,0.25026577711105347,0.10395756363868713,0.022533852607011795
20,5669,,,0.24992015957832336,,,
21,5939,0.10541541874408722,0.024926556274294853,,0.25229117274284363,0.10399135947227478,0.022899018600583076
21,5939,,,0.24839799106121063,,,
22,6209,0.10431846231222153,0.023937232792377472,,0.24807065725326538,0.1033659428358078,0.022134875878691673
22,6209,,,0.24748291075229645,,,
23,6479,0.11584054678678513,0.02803141064941883,,0.27029046416282654,0.11576714366674423,0.026255838572978973
23,6479,,,0.24752748012542725,,,
24,6749,0.10087108612060547,0.02290480211377144,,0.23940886557102203,0.09930923581123352,0.020574167370796204
24,6749,,,0.24402202665805817,,,
25,7019,0.10151202231645584,0.02358129248023033,,0.24420112371444702,0.1002100259065628,0.021476691588759422
25,7019,,,0.24284283816814423,,,
26,7289,0.10305368155241013,0.023228585720062256,,0.24119426310062408,0.10139892995357513,0.02088165283203125
26,7289,,,0.24661016464233398,,,
27,7559,0.10135771334171295,0.022882353514432907,,0.2391786277294159,0.09966253489255905,0.020536476746201515
27,7559,,,0.24122019112110138,,,
28,7829,0.10860227793455124,0.023988468572497368,,0.2476462572813034,0.10816874355077744,0.021984195336699486
28,7829,,,0.2391066551208496,,,
29,8099,0.10099918395280838,0.022686829790472984,,0.24494639039039612,0.10069932043552399,0.02161063440144062
29,8099,,,0.23972606658935547,,,
30,8369,0.10382360219955444,0.024694282561540604,,0.2548750042915344,0.10385507345199585,0.023413559421896935
30,8369,,,0.23730997741222382,,,
31,8639,0.09786519408226013,0.02094345912337303,,0.23041830956935883,0.09632344543933868,0.019053298979997635
31,8639,,,0.2300586700439453,,,
32,8909,0.09874444454908371,0.02089574746787548,,0.23166432976722717,0.09851308166980743,0.019259335473179817
32,8909,,,0.22852149605751038,,,
33,9179,0.09783416986465454,0.020759260281920433,,0.23100832104682922,0.09660499542951584,0.019158607348799706
33,9179,,,0.2283766269683838,,,
34,9449,0.0984136238694191,0.02138916216790676,,0.23207315802574158,0.0970534235239029,0.019322561100125313
34,9449,,,0.22804713249206543,,,
35,9719,0.09892401844263077,0.021342890337109566,,0.22872011363506317,0.09614429622888565,0.018761495128273964
35,9719,,,0.22875842452049255,,,
